"zona","grupo","comunidad","unidad_economica","ano","post","years_centered","nombre_comun","peso_vivo","peso_desembarcado","valor","cpi"
"PN","Control",NA,"bahia tortugas",2000,0,-6,"Langosta roja ent. fca.",192686,192686,27293634.5920997,9.49156
"PN","Control",NA,"bahia tortugas",2001,0,-5,"Langosta roja ent. fca.",139743,139743,29893194.7644637,6.367737
"PN","Control",NA,"bahia tortugas",2002,0,-4,"Langosta roja ent. fca.",125010,125010,20939230.2606479,5.030733
"PN","Control",NA,"bahia tortugas",2003,0,-3,"Langosta roja ent. fca.",154383,154383,23581522.3946671,4.546898
"PN","Control",NA,"bahia tortugas",2004,0,-2,"Langosta roja ent. fca.",133604,133604,21042722.0090345,4.688407
"PN","Control",NA,"bahia tortugas",2005,0,-1,"Langosta roja ent. fca.",144597,144597,19373735.9774955,3.988061
"PN","Control",NA,"bahia tortugas",2006,0,0,"Langosta roja ent. fca.",166231,166231,20268030.1789534,3.629463
"PN","Control",NA,"bahia tortugas",2007,1,1,"Langosta roja ent. fca.",134021.52,134021.52,17859836.1059588,3.96685
"PN","Control",NA,"bahia tortugas",2008,1,2,"Langosta roja ent. fca.",178299,178299,30751362.432302,5.124982
"PN","Control",NA,"bahia tortugas",2009,1,3,"Langosta roja ent. fca.",169452,169452,29259172.3315957,5.297357
"PN","Control",NA,"bahia tortugas",2010,1,4,"Langosta roja ent. fca.",133339,133339,15664548.6171586,4.156728
"PN","Control",NA,"bahia tortugas",2011,1,5,"Langosta roja ent. fca.",245167,245167,21279738.2983748,3.40738
"PN","Control",NA,"bahia tortugas",2012,1,6,"Langosta roja ent. fca.",184418,184418,18868085.2727194,4.111508
"PN","Control",NA,"bahia tortugas",2013,1,7,"Langosta roja ent. fca.",156088,156088,14784484.3716134,3.80639
"PN","Control",NA,"bahia tortugas",2014,1,8,"Langosta roja ent. fca.",128387.8,128387.8,12838780,4.018617
"PN","Treated","Isla Natividad","buzos y pescadores de la baja california",2000,0,-6,"Langosta roja ent. fca.",114806,114806,14570833.9714583,9.49156
"PN","Treated","Isla Natividad","buzos y pescadores de la baja california",2001,0,-5,"Langosta roja ent. fca.",116286,116286,10868077.1857348,6.367737
"PN","Treated","Isla Natividad","buzos y pescadores de la baja california",2002,0,-4,"Langosta roja ent. fca.",101362,101362,7574803.95039263,5.030733
"PN","Treated","Isla Natividad","buzos y pescadores de la baja california",2003,0,-3,"Langosta roja ent. fca.",147982,147982,11097513.8010664,4.546898
"PN","Treated","Isla Natividad","buzos y pescadores de la baja california",2004,0,-2,"Langosta roja ent. fca.",124437,124437,11758097.245464,4.688407
"PN","Treated","Isla Natividad","buzos y pescadores de la baja california",2005,0,-1,"Langosta roja ent. fca.",117285,117285,9868612.98245765,3.988061
