"Comunidad","Ano","RC","Sitio","Zona","Transecto","GeneroEspecie","Abundancia"
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Anisotremus davidsonii",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Caulolatilus princeps",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Chromis punctipinnis",6
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Embiotoca jacksoni",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Girella nigricans",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Halichoeres semicinctus",1
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Heterodontus francisci",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Hypsypops rubicundus",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Mycteroperca",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Mycteroperca jordani",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Mycteroperca xenarcha",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Ophiodon elongatus",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Oxyjulis californica",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Paralabrax clathratus",1
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Paralabrax nebulifer",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Rhacochilus vacca",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Scorpaenichthys marmoratus",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Sebastes",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Sebastes auriculatus",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Sebastes carnatus",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Sebastes chrysomelas",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Sebastes flavidus",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Sebastes rastrelliger",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Sebastes serranoides",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Semicossyphus pulcher",4
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Squatina californica",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","Babencho","Control",1,"Stereolepis gigas",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","La Dulce","Control",1,"Anisotremus davidsonii",1
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","La Dulce","Control",1,"Caulolatilus princeps",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","La Dulce","Control",1,"Chromis punctipinnis",12
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","La Dulce","Control",1,"Embiotoca jacksoni",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","La Dulce","Control",1,"Girella nigricans",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","La Dulce","Control",1,"Halichoeres semicinctus",26
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","La Dulce","Control",1,"Heterodontus francisci",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","La Dulce","Control",1,"Hypsypops rubicundus",0
"Isla Natividad",2006,"La Plana / Las Cuevas - La Dulce / Babencho","La Dulce","Control",1,"Mycteroperca",0
